Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event
2068,14/6/21,Anonymo,GamerLegion,Poland,Sweden,Mirage,17,19,ESEA Premier Season 37 Europe
2069,14/6/21,Sangal,Sprout,Turkey,Germany,Vertigo,16,12,ESEA Premier Season 37 Europe
2070,14/6/21,Sprout,Sangal,Germany,Turkey,Mirage,16,19,ESEA Premier Season 37 Europe
2071,14/6/21,SAW,SKADE,Portugal,Bulgaria,Train,12,16,REPUBLEAGUE TIPOS Season 1
2072,14/6/21,SKADE,SAW,Bulgaria,Portugal,Vertigo,16,6,REPUBLEAGUE TIPOS Season 1
2073,14/6/21,HYENAS,Entropiq,Denmark,Russia,Dust2,19,17,Funspark ULTI 2021 Europe Playoffs 1
2074,14/6/21,Entropiq,HYENAS,Russia,Denmark,Mirage,14,16,Funspark ULTI 2021 Europe Playoffs 1
2075,14/6/21,HAVU,ENCE,Finland,Europe,Nuke,5,16,Funspark ULTI 2021 Europe Playoffs 1
2076,14/6/21,ENCE,HAVU,Europe,Finland,Dust2,0,16,Funspark ULTI 2021 Europe Playoffs 1
2077,14/6/21,HAVU,ENCE,Finland,Europe,Vertigo,7,16,Funspark ULTI 2021 Europe Playoffs 1
2078,14/6/21,GODSENT,TeamOne,Brazil,Brazil,Nuke,16,10,Mythic Spring Series 2021 Cup 2
2079,14/6/21,TeamOne,GODSENT,Brazil,Brazil,Dust2,14,16,Mythic Spring Series 2021 Cup 2
2080,13/6/21,Young Ninjas,Endpoint,Sweden,United Kingdom,Overpass,5,16,Elisa Invitational Summer 2021
2081,13/6/21,Young Ninjas,Endpoint,Sweden,United Kingdom,Inferno,5,16,Elisa Invitational Summer 2021
2082,13/6/21,Anonymo,Izako Boars,Poland,Poland,Dust2,16,11,ESEA Premier Season 37 Europe
2083,13/6/21,Izako Boars,Anonymo,Poland,Poland,Nuke,10,16,ESEA Premier Season 37 Europe
2084,13/6/21,SAW,forZe,Portugal,Russia,Overpass,16,4,REPUBLEAGUE TIPOS Season 1
2085,13/6/21,forZe,SAW,Russia,Portugal,Nuke,12,16,REPUBLEAGUE TIPOS Season 1
2086,13/6/21,forZe,SAW,Russia,Portugal,Dust2,16,12,REPUBLEAGUE TIPOS Season 1
2087,13/6/21,Sangal,ENCE,Turkey,Europe,Nuke,13,16,Elisa Invitational Summer 2021
2088,13/6/21,ENCE,Sangal,Europe,Turkey,Dust2,16,12,Elisa Invitational Summer 2021
