Index,Date,Team1,Team2,Map,winner,Team1_region,Team2_region,Event_priority
303,2021-10-15,FunPlus Phoenix,1WIN,Dust2,1,EU,CIS,3
304,2021-10-15,Lyngby Vikings,Fiend,Mirage,2,EU,EU,3
305,2021-10-15,Fiend,Lyngby Vikings,Ancient,1,EU,EU,3
306,2021-10-15,MAD Lions,Evil Geniuses,Dust2,1,EU,N_A,1
307,2021-10-15,Evil Geniuses,MAD Lions,Nuke,2,N_A,EU,1
308,2021-10-15,INDE IRAE,Unique,Overpass,2,CIS,CIS,3
309,2021-10-15,Unique,INDE IRAE,Mirage,1,CIS,CIS,3
310,2021-10-14,Copenhagen Flames,fnatic,Overpass,1,EU,EU,3
311,2021-10-14,fnatic,Copenhagen Flames,Vertigo,2,EU,EU,3
312,2021-10-14,Anonymo,AGO,Vertigo,2,EU,EU,2
313,2021-10-14,Anonymo,AGO,Ancient,1,EU,EU,2
314,2021-10-14,AGO,Anonymo,Mirage,1,EU,EU,2
315,2021-10-14,LDLC,BLINK,Mirage,2,EU,EU,2
316,2021-10-14,BLINK,LDLC,Dust2,1,EU,EU,2
317,2021-10-14,9z,Liquid,Inferno,2,SA,N_A,1
318,2021-10-14,Liquid,9z,Nuke,1,N_A,SA,1
319,2021-10-14,Lyngby Vikings,ENCE,Ancient,1,EU,EU,3
320,2021-10-14,Lyngby Vikings,ENCE,Dust2,2,EU,EU,3
321,2021-10-14,ENCE,Lyngby Vikings,Vertigo,2,EU,EU,3
322,2021-10-14,Movistar Riders,Virtus.pro,Mirage,2,EU,CIS,1
323,2021-10-14,Virtus.pro,Movistar Riders,Vertigo,1,CIS,EU,1
324,2021-10-14,HAVU,Unique,Ancient,1,EU,CIS,3
325,2021-10-14,Unique,HAVU,Mirage,2,CIS,EU,3
326,2021-10-14,K23,INDE IRAE,Ancient,2,CIS,CIS,3
327,2021-10-14,INDE IRAE,K23,Inferno,1,CIS,CIS,3
328,2021-10-14,K23,INDE IRAE,Nuke,1,CIS,CIS,3
329,2021-10-14,SKADE,Galaxy Racer,Overpass,2,EU,EU,3
330,2021-10-14,Galaxy Racer,SKADE,Dust2,1,EU,EU,3
331,2021-10-14,Party Astronauts,Extra Salt,Nuke,2,N_A,N_A,2
332,2021-10-14,Party Astronauts,Extra Salt,Overpass,2,N_A,N_A,2
333,2021-10-14,Extra Salt,Party Astronauts,Inferno,2,N_A,N_A,2
334,2021-10-13,Fiend,BIG,Nuke,1,EU,EU,3
335,2021-10-13,BIG,Fiend,Inferno,2,EU,EU,3
336,2021-10-13,AGO,DBL PONEY,Vertigo,1,EU,EU,2
337,2021-10-13,DBL PONEY,AGO,Ancient,2,EU,EU,2
338,2021-10-13,Anonymo,BLINK,Inferno,1,EU,EU,2
339,2021-10-13,BLINK,Anonymo,Vertigo,2,EU,EU,2
340,2021-10-13,Sprout,LDLC,Dust2,2,EU,EU,2
341,2021-10-13,Sprout,LDLC,Inferno,1,EU,EU,2
342,2021-10-13,LDLC,Sprout,Vertigo,1,EU,EU,2
343,2021-10-13,FunPlus Phoenix,Lyngby Vikings,Vertigo,2,EU,EU,3
344,2021-10-13,FunPlus Phoenix,Lyngby Vikings,Ancient,2,EU,EU,3
345,2021-10-13,Lyngby Vikings,FunPlus Phoenix,Inferno,2,EU,EU,3
346,2021-10-13,1WIN,Nemiga,Nuke,2,CIS,CIS,3
347,2021-10-13,1WIN,Nemiga,Mirage,1,CIS,CIS,3
348,2021-10-13,Nemiga,1WIN,Vertigo,1,CIS,CIS,3
349,2021-10-13,HAVU,Gambit,Mirage,2,EU,CIS,3
350,2021-10-13,HAVU,Gambit,Dust2,2,EU,CIS,3
351,2021-10-13,paiN,OG,Inferno,2,SA,EU,1
352,2021-10-13,OG,paiN,Ancient,1,EU,SA,1
353,2021-10-13,Unique,SKADE,Overpass,1,CIS,EU,3
354,2021-10-13,Unique,SKADE,Mirage,2,CIS,EU,3
355,2021-10-13,SKADE,Unique,Dust2,2,EU,CIS,3
356,2021-10-13,HAVU,MOUZ NXT,Mirage,2,EU,EU,3
357,2021-10-13,MOUZ NXT,HAVU,Dust2,1,EU,EU,3
358,2021-10-13,Endpoint,INDE IRAE,Ancient,2,EU,CIS,3
359,2021-10-13,INDE IRAE,Endpoint,Inferno,1,CIS,EU,3
360,2021-10-13,Endpoint,INDE IRAE,Mirage,1,EU,CIS,3
361,2021-12-10,Fiend,SKADE,Overpass,1,EU,EU,3
362,2021-12-10,Fiend,SKADE,Ancient,2,EU,EU,3
363,2021-12-10,SKADE,Fiend,Inferno,2,EU,EU,3
364,2021-12-10,AGO,Sprout,Vertigo,1,EU,EU,2
365,2021-12-10,Sprout,AGO,Ancient,2,EU,EU,2
366,2021-12-10,LDLC,DBL PONEY,Vertigo,2,EU,EU,2
367,2021-12-10,DBL PONEY,LDLC,Inferno,1,EU,EU,2
368,2021-12-10,Unique,FunPlus Phoenix,Nuke,2,CIS,EU,3
369,2021-12-10,FunPlus Phoenix,Unique,Overpass,1,EU,CIS,3
370,2021-12-10,Galaxy Racer,HAVU,Dust2,2,EU,EU,3
371,2021-12-10,HAVU,Galaxy Racer,Ancient,1,EU,EU,3
372,2021-12-10,Finest,Copenhagen Flames,Overpass,2,EU,EU,3
373,2021-12-10,Finest,Copenhagen Flames,Ancient,2,EU,EU,3
374,2021-12-10,Finest,Copenhagen Flames,Inferno,1,EU,EU,3
375,2021-12-10,Fiend,Dignitas,Nuke,2,EU,EU,1
